Topic,Word,POS,IPA,Pinyin,Meaning,Example,Translation,ImageURL
Đồ dùng học tập,Paper,n,/ˈpeɪ.pər/,zhǐ,Giấy,I draw pictures on white paper.,Tôi vẽ tranh trên giấy trắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165804/Paper_tk4cjz.png
Đồ dùng học tập,Paper fastener,n. phr,/ˈpeɪ.pər ˈfɑːs.ən.ər/,zhǐ lián,Dụng cụ kẹp giấy,I use a paper fastener to hold papers.,Tôi dùng kẹp giấy để giữ các tờ giấy lại.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165810/Paper-fastener_jvnad4.png
Đồ dùng học tập,Paper Clip,n. phr,/ˈpeɪ.pə ˌklɪp/,huí xíng zhēn,Kẹp giấy,I use a paper clip to keep papers together.,Tôi dùng kẹp giấy để kẹp tài liệu lại với nhau.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165805/Paper-Clip_vpm03f.png
Đồ dùng học tập,Palette,n,/ˈpæl.ət/,diào sè bǎn,Bảng màu,The artist mixes colors on the palette.,Họa sĩ pha màu trên bảng pha màu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165804/Palette_qf2pte.png
Đồ dùng học tập,Paint,n,/peɪnt/,yóu cǎi,"Sơn, màu",I love to paint colorful pictures.,Tôi thích vẽ những bức tranh đầy màu sắc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165796/Paint_wuiuir.png
Đồ dùng học tập,Paintbrush,n. phr,/ˈpeɪntˌbrʌʃ/,huà bǐ,Chổi sơn,I draw a flower with a paintbrush.,Tôi vẽ một bông hoa bằng cọ vẽ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165798/Paintbrush_jl50th.png
Đồ dùng học tập,Notebook,n,/ˈnəʊt.bʊk/,běn zi,"Cuốn sổ, vở",I write my homework in my notebook.,Tôi ghi bài tập vào quyển vở của mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165797/Notebook_gnilos.png
Đồ dùng học tập,Map,n,/mæp/,dì tú,Bản đồ,We look at the map in geography class.,Chúng tôi xem bản đồ trong tiết địa lý.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165796/Map_jf2jom.png
Đồ dùng học tập,Magnifying Glass,n. phr,/ˈmæɡ.nɪ.faɪ.ɪŋ ˌɡlɑːs/,fàng dà jìng,Kính lúp,I use a magnifying glass to see small words.,Tôi dùng kính lúp để xem chữ nhỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165795/MagnifyingGlass_vuri52.png
Đồ dùng học tập,Index card,n. phr,/ˈkɑːd ˌɪn.deks/,kǎ piàn,Phiếu làm mục lục,I write new words on an index card.,Tôi ghi từ mới lên thẻ ghi chú.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165794/Index-card_ci9qqc.png
Đồ dùng học tập,Highlighter,n,/ˈhaɪˌlaɪ.tər/,yìng guāng bǐ,Bút đánh dấu màu,I mark important words with a highlighter.,Tôi tô nổi các từ quan trọng bằng bút dạ quang.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165793/Highlighter_ahgbcp.png
Đồ dùng học tập,Glue,n,/ɡluː/,jiāo shuǐ,Keo,I use glue to stick pictures.,Tôi dùng keo để dán hình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165792/Glue_jvpuqc.png
Đồ dùng học tập,Globe,n,/ɡləʊb/,dì qiú yí,Quả địa cầu,The teacher shows the world on a globe.,Cô giáo chỉ bản đồ thế giới trên quả địa cầu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165790/Globe_gerrcc.png
Đồ dùng học tập,Flash card,n. phr,/ˈflæʃ ˌkɑːd/,shàn kǎ,Thẻ ghi nhớ,I learn new words with flash cards.,Tôi học từ mới bằng thẻ học từ vựng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165789/Flash-card_wvehc9.png
Đồ dùng học tập,File Holder,n. phr,/faɪlˈhəʊl.dər/,wén jiàn jiā,Tập hồ sơ,I keep my documents in a file holder.,Tôi cất tài liệu trong giá đựng hồ sơ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165789/File-Holder_lirmta.png
Đồ dùng học tập,File cabinet,n. phr,/ˈfaɪl ˌkæb.ɪ.nət/,wén jiàn guì,Tủ đựng tài liệu,The file cabinet is next to the desk.,Tủ hồ sơ đặt cạnh bàn làm việc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165789/File-cabinet_zqfpop.png
Đồ dùng học tập,Felt pen,n. phr,/felt pen/,máo bǐ,Bút dạ,I color the picture with a felt pen.,Tôi tô màu bức tranh bằng bút dạ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165785/Felt-pen_cazv7l.png
Đồ dùng học tập,Rubber,n,/ˈrʌb.ər/,xiàng pí,Cục tẩy,I erase my mistakes with a rubber.,Tôi tẩy lỗi bằng cục tẩy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165817/Rubber_pl2skk.png
Đồ dùng học tập,Duster,n,/ˈdʌs.tər/,cā bù,Khăn lau bảng,I clean the board with a duster.,Tôi lau bảng bằng khăn lau bảng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165784/Duster_mippfv.png
Đồ dùng học tập,Dossier,n,/ˈdɒs.i.eɪ/,dàng àn,Hồ sơ,I put my project in a dossier.,Tôi để dự án của mình trong tập hồ sơ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165784/Dossier_bqqy1y.png
Đồ dùng học tập,Dictionary,adj,/ˈdɪk.ʃən.ər.i/,cí diǎn,Từ điển,I look up new words in the dictionary.,Tôi tra từ mới trong từ điển.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165785/Dictionary_kxirxe.png
Đồ dùng học tập,Desk,n,/desk/,shū zhuō,Bàn học,My desk is full of books.,Bàn học của tôi đầy sách.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165783/Desk_jghtbd.png
Đồ dùng học tập,Crayon,n,/ˈkreɪ.ɒn/,là bǐ,Bút chì màu,I draw a sun with a yellow crayon.,Tôi vẽ mặt trời bằng bút sáp vàng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165781/Crayon_ncr9v5.png
Đồ dùng học tập,Computer,n,/kəmˈpjuː.tər/,diàn nǎo,Máy tính bàn,I use a computer to study online.,Tôi dùng máy tính để học trực tuyến.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165781/Computer_m1ytqv.png
Đồ dùng học tập,Compass,n,/ˈkʌm.pəs/,yuán guī,Com-pa,I draw circles with a compass.,Tôi vẽ hình tròn bằng com-pa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165779/Compass_gdoeqk.png
Đồ dùng học tập,Coloured Pencil,n. phr,/ˈkʌl.əd ˈpen.səl/,cǎi sè qiān bǐ,Bút chì màu,I color the sky with a blue coloured pencil.,Tôi tô bầu trời bằng bút chì màu xanh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165724/Coloured-Pencil_bc43mf.png
Đồ dùng học tập,Clock,n,/klɒk/,zhōng,Đồng hồ treo tường,The clock shows nine o’clock.,Đồng hồ chỉ chín giờ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165687/Clock_wvzwlt.png
Đồ dùng học tập,Clamp,n,klæmp/,jiá zi,Kẹp,I use a clamp to hold the wood.,Tôi dùng kẹp để giữ miếng gỗ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165686/Clamp_jqzgwc.png
Đồ dùng học tập,Chalk,n,/tʃɔːk/,fěn bǐ,Phấn,The teacher writes with white chalk.,Cô giáo viết bằng phấn trắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165686/Chalk_guv1nb.png
Đồ dùng học tập,Chair,n,/tʃeər/,yǐ zi,Ghế,I sit on a chair to study.,Tôi ngồi trên ghế để học.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165686/Chair_rpaw3q.png
Đồ dùng học tập,Carbon paper,n. phr,/ˈkɑː.bən ˌpeɪ.pər/,fù zhì zhǐ,Giấy than,I use carbon paper to copy notes.,Tôi dùng giấy than để sao chép ghi chú.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165687/Carbon-paper_oxvluj.png
Đồ dùng học tập,Calculator,n,/ˈkæl.kjə.leɪ.tər/,jì suàn qì,Máy tính cầm tay,I use a calculator to do math.,Tôi dùng máy tính cầm tay để làm toán.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165682/Calculator_smkqzz.png
Đồ dùng học tập,Bookcase,n,/ˈbʊk.keɪs/,shū jià,Giá sách,I put my books in the bookcase.,Tôi để sách của mình trong tủ sách.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165682/Bookcase_kapxtn.png
Đồ dùng học tập,Book,n,/bʊk/,shū,Sách,I read an English book every night.,Tôi đọc một quyển sách tiếng Anh mỗi tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165682/Book_y7pjcw.png
Đồ dùng học tập,Board,n,/bɔːd/,bǎn,Bảng,The teacher writes on the board.,Cô giáo viết lên bảng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165683/Board_sn1xle.png
Đồ dùng học tập,Blackboard,n,/ˈblæk.bɔːd/,hēi bǎn,Bảng đen,The teacher draws a line on the blackboard.,Cô giáo vẽ một đường trên bảng đen.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165682/Blackboard_aggztb.png
Đồ dùng học tập,Binder,n,/ˈbaɪn.dər/,wén jiàn jiā,"Bìa rời (báo, tạp chí)",I keep papers in a binder.,Tôi cất giấy tờ trong bìa hồ sơ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165681/Binder_tqbsfn.png
Đồ dùng học tập,Beaker,n,/ˈbiː.kər/,bēi zi,Cốc bêse,The student pours water into the beaker.,Học sinh rót nước vào cốc thủy tinh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165681/Beaker_ceex0a.png
Đồ dùng học tập,Ballpoint pen,n,/ˌbɔːl.pɔɪnt ˈpen/,yuán zhū bǐ,Bút bi,I write notes with a ballpoint pen.,Tôi ghi chú bằng bút bi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165681/Ballpoint-pen_stoeu3.png
Đồ dùng học tập,Bag,n,/bæɡ/,bāo,Cặp sách,My school bag is heavy.,Cặp đi học của tôi nặng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165681/Bag_djf2qu.png
Đồ dùng học tập,Backpack,n,/ˈbæk.pæk/,shū bāo,Ba lô,I carry my books in my backpack.,Tôi mang sách trong balo.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165116/Backpack_beorn2.png
Đồ dùng học tập,Funnel,n,/ˈfʌn.əl/,lòu dòu,Cái phễu,I pour water into the bottle using a funnel.,Tôi rót nước vào chai bằng cái phễu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759165789/Funnel_lwjicj.png
Hành động,Pack,v,/pæk/,dǎ bāo,"Bó, gói",Tom packs his bag before school.,Tom xếp cặp trước khi đi học.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166856/Pack_oru6pc.png
Hành động,Paint,v,/peint/,huà huà,Quét sơn,Anna paints a big red house.,Anna vẽ một ngôi nhà to màu đỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166856/Paint_janh4l.png
Hành động,Paste,v,/peist/,zhān tiē,Dán,Mom pastes the photo on the wall.,Mẹ dán bức ảnh lên tường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166857/Paste_f8sdy1.png
Hành động,Pick,v,/pik/,zhāi,"Hái, nhổ",Grandpa picks fresh apples from the tree.,Ông hái những quả táo tươi từ trên cây.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166857/Pick_ek6c2f.png
Hành động,Plant,v,/plænt/,zhòng zhí,Trồng,We plant flowers in front of our house.,Chúng tôi trồng hoa trước nhà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166857/Plant_kld9d2.png
Hành động,Play,v,/plei/,wán,Chơi,The children play football after class.,Bọn trẻ chơi bóng sau giờ học.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166858/Play_dazwip.png
Hành động,Point,v,/pɔint/,zhǐ,Chỉ,The teacher points at the map.,Cô giáo chỉ vào bản đồ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166858/Point_thw7uh.png
Hành động,Pour,v,/pɔ:/,dǎo,"Rót, đổ",Dad pours milk into my cup.,Ba rót sữa vào cốc của tôi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166858/Pour_rize83.png
Hành động,Pull,v,/pul/,lā,"Lôi, kéo",The boy pulls the rope with all his strength.,Cậu bé kéo sợi dây bằng tất cả sức mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166858/Pull_um9t7g.png
Hành động,Push,v,/puʃ/,tuī,"Xô, đẩy",Grandma pushes the door slowly.,Bà đẩy cánh cửa một cách chậm rãi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166859/Push_ysfeom.png
Hành động,Rake,v,/reik/,sǎo,"Cào, cời",He rakes the dry leaves in the yard.,Anh ấy cào những chiếc lá khô trong sân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166860/Rake_kd7baj.png
Hành động,Read,v,/ri:d/,dú,Đọc,Lisa reads a story to her baby sister.,Lisa đọc truyện cho em gái nghe.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166860/Read_fbt8al.png
Hành động,Ride,v,/raid/,qí,"Đi, cưỡi",My father rides a motorbike to work.,Ba tôi đi làm bằng xe máy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166861/Ride_fzz9gr.png
Hành động,Row,v,/rou/,huá chuán,Chèo thuyền,We row a small boat across the lake.,Chúng tôi chèo chiếc thuyền nhỏ băng qua hồ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166862/Row_tcmybp.png
Hành động,Run,v,/rʌn/,pǎo,Chạy,The little boy runs to his mother.,Cậu bé chạy đến với mẹ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166862/Run_txb4pj.png
Hành động,Sail,v,/seil/,fān chuán,Lái (thuyền buồm),They sail a boat on the sea.,Họ lái thuyền trên biển.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166863/Sail_wtq6ex.png
Hành động,Scrub,v,/skrʌb/,shuā,"Lau, chùi, cọ rửa",I scrub the dirty floor with a brush.,Tôi chà sàn bẩn bằng bàn chải.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166863/Scrub_gm2jua.png
Hành động,See,v,/si:/,kàn,"Thấy, xem",Grandma sees birds flying in the sky.,Bà nhìn thấy những con chim bay trên trời.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166864/See_tsi37r.png
Hành động,Set,v,/set/,bǎi fàng,"Để, đặt",Mom sets the table for dinner.,Mẹ dọn bàn để ăn tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166865/Set_zadjd8.png
Hành động,Sew,v,/soʊ/,féng,"May, khâu",Aunt Mary sews a new shirt for me.,Cô Mary may cho tôi một chiếc áo mới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166865/Sew_amwav6.png
Hành động,Shout,v,/ʃaʊt/,hǎn,"La hét, reo hò",The coach shouts during the game.,Huấn luyện viên hét lên trong trận đấu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166866/Shout_ps4n4s.png
Hành động,Show,v,/ʃou/,zhǎn shì,"Cho xem, cho thấy, trưng bày",My brother shows me his new phone.,Anh trai cho tôi xem điện thoại mới của anh ấy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166867/Show_getwn3.png
Hành động,Sing,v,/siɳ/,chàng gē,"Hát, hót",The girls sing a happy song.,Các cô gái hát một bài vui vẻ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166867/Sing_nvwlxd.png
Hành động,Sit,v,/sit/,zuò,Ngồi,Please sit next to your friend.,Làm ơn ngồi cạnh bạn của bạn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166868/Sit_gccxut.png
Hành động,Skate,v,/skeit/,huá bīng,Trượt băng,Ben skates in the park on weekends.,Ben trượt patin trong công viên vào cuối tuần.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166869/Skate_vitqxq.png
Hành động,Skip,v,/skip/,tiào,Nhảy,The children skip happily in the yard.,Bọn trẻ nhảy dây vui vẻ trong sân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166870/Skip_wlloho.png
Hành động,Sleep,v,/sli:p/,shuì jiào,Ngủ,My baby sleeps in her little bed.,Em bé của tôi ngủ trong chiếc giường nhỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166870/Sleep_at8yao.png
Hành động,Slide,v,/slaid/,huá,Trượt,The kids slide down the big slide.,Lũ trẻ trượt xuống cầu trượt lớn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166871/Slide_pxat5q.png
Hành động,Sneeze,v,/sni:z/,dǎ pēn tì,Hắt hơi,Dad sneezes because of the cold.,Ba hắt hơi vì bị cảm lạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166872/Sneeze_jwjls3.png
Hành động,Spin,v,/spɪn/,zhuǎn,Quay,The dancer spins around beautifully.,Vũ công xoay tròn rất đẹp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166873/Spin_zchvgj.png
Hành động,Stand,v,/stænd/,zhàn,Đứng,Please stand near the blackboard.,Làm ơn đứng gần bảng đen.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166873/Stand_c1me8g.png
Hành động,Stop,v,/stɔp/,tíng,Ngừng,The man stops when the light turns red.,Người đàn ông dừng lại khi đèn chuyển đỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166874/Stop_hjgfnb.png
Hành động,Sweep,v,/swi:p/,sǎo dì,Quét qua; lan ra,Grandma sweeps the floor every morning.,Bà quét nhà mỗi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166874/Sweep_sjsjgu.png
Hành động,Swim,v,/swim/,yóu yǒng,Bơi,My friends swim in the pool after school.,Bạn bè tôi bơi trong hồ bơi sau giờ học.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166876/Swim_nptyer.png
Hành động,Swing,v,/swɪŋ/,dàng qiū qiān,Đu đưa,The little girl swings under the tree.,Cô bé đu xích đu dưới gốc cây.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166876/Swing_jbz2lq.png
Hành động,Take,v,/teik/,ná,"Cầm, nắm, lấy",I take a photo with my sister.,Tôi chụp ảnh cùng chị gái.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166877/Take_fztt2h.png
Hành động,Talk,v,/tɔ:k/,shuō huà,Nói chuyện,The teacher talks to the class.,Cô giáo nói chuyện với cả lớp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166878/Talk_bb8lxa.png
Hành động,Tell,v,/tel/,gào sù,Nói,Mom tells me a story at night.,Mẹ kể cho tôi một câu chuyện vào buổi tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166880/Tell_bxlopi.png
Hành động,Throw,v,/θrəʊ/,rēng,"Ném, quăng",Jack throws the ball to his dog.,Jack ném quả bóng cho con chó của mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166879/Throw_hgruxi.png
Hành động,Tie,v,/tai/,xì,"Buộc, cột, trói",I tie my shoes before going out.,Tôi buộc dây giày trước khi ra ngoài.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759166880/Tie_mavcw5.png
Hoạt động thường ngày,Brush your teeth,v. phr,/brʌʃ ti:θ/,shuā yá,Đánh răng,I brush my teeth every morning.,Tôi đánh răng mỗi buổi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167630/Brush-your-teeth_isfmge.png
Hoạt động thường ngày,Buy,v,/bai/,mǎi,Mua,Mom buys fresh fruit at the market.,Mẹ mua trái cây tươi ở chợ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167632/Buy_knfgsj.png
Hoạt động thường ngày,Comb the hair,v. phr,/koum ðə heə/,shū tóu fǎ,Chải đầu,Anna combs her hair before school.,Anna chải tóc trước khi đến trường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167631/Comb-the-hair_brnzai.png
Hoạt động thường ngày,Cook,v,/kuk/,zuò fàn,Nấu ăn,Dad cooks dinner for the whole family.,Ba nấu bữa tối cho cả nhà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167631/Cook_vhmdga.png
Hoạt động thường ngày,Do exercise,v. phr,/du: eksəsaiz/,duàn liàn,Tập thể dục,We do morning exercise in the park.,Chúng tôi tập thể dục buổi sáng trong công viên.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167633/Do-exercise_vwiel9.png
Hoạt động thường ngày,Do your homework,v. phr,/du ‘houmwə:k/,zuò zuò yè,Làm bài tập về nhà,Tom does his homework after dinner.,Tom làm bài tập sau bữa tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167634/Do-your-homework_puzqhc.png
Hoạt động thường ngày,Eat out,v. phr,/ˈiːt ˌaʊt/,chī wài mài,Đi ăn ở ngoài,My family eats out every Sunday.,Gia đình tôi ăn ngoài mỗi Chủ nhật.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167635/Eat-out_aqhhto.png
Hoạt động thường ngày,Feed the dog,v. phr,/fi:d ðə dɔg/,wèi gǒu,Cho chó ăn,I feed the dog every morning.,Tôi cho chó ăn mỗi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167636/Feed-the-dog_ao39l1.png
Hoạt động thường ngày,Finish working,v. phr,/’finiʃ ˈwəːkɪŋ/,gōng zuò jié shù,Kết thúc công việc,Dad finishes working at 6 p.m.,Ba kết thúc công việc lúc 6 giờ tối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167637/Finish-working_ttzndx.png
Hoạt động thường ngày,Gardening,v,/ˈɡɑː.dən.ɪŋ/,yuán yì,Làm vườn,Grandpa loves gardening in the backyard.,Ông thích làm vườn ở sân sau.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167638/Gardening_qlrdu6.png
Hoạt động thường ngày,Get dressed,v. phr,/get dres/,chuān yī fú,Mặc quần áo,I get dressed before going to school.,Tôi mặc quần áo trước khi đến trường.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759167688/Get-dressed_yalzzu.png
